In |Black   |             Changed by black put              |White   |             Changed by white put              |St.St |Ma.Dsc|
dex| Movable|    1|    2|    3|    4|    5|    6|    7|    8| Movable|    1|    2|    3|    4|    5|    6|    7|    8|B|W|Df|B|W|Df|
---+--------+-----+-----+-----+-----+-----+-----+-----+-----+--------+-----+-----+-----+-----+-----+-----+-----+-----+-+-+--+-+-+--+
0032 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 1 4 -3 0 0  0 BEWEWWWW
0033 00010000 (0,0) (0,0) (0,0) (1,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 5 -5 1 0  1 WBWEWWWW
0034 00010000 (0,0) (0,0) (0,0) (1,0) (0,0) (0,0) (0,0) (0,0) 20000000 (0,1) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 4 -4 1 1  0 EBWEWWWW
0035 00010000 (0,0) (0,0) (0,0) (1,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 2 4 -2 1 0  1 BBWEWWWW
0036 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 6 -6 0 0  0 WWEEWWWW
0037 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 4 -4 0 0  0 EWEEWWWW
0038 00100000 (0,0) (0,0) (1,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 1 4 -3 1 0  1 BWEEWWWW
0039 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 5 -5 0 0  0 WEEEWWWW
0040 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 4 -4 0 0  0 EEEEWWWW
0041 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 1 4 -3 0 0  0 BEEEWWWW
